device_id,carrier,rx_bytes_wifi,tx_bytes_wifi,rx_bytes_mobile,tx_bytes_mobile,total_used_bytes,extract_date
3108cb2a706ce235,,46928815789,686867653,0,0,47615683442,2022-10-31
dac996594635df76,t-mobile,17500516856,340118485,72699,23539,17840731579,2022-10-31
14199cbb999f421b,t-mobile,0,0,0,0,0,2022-10-31
c85185f13742d91d,t-mobile,10351921248,243958978,50969,15896,10595947091,2022-10-31
f501885536dfd68f,,563046699,51956971,0,0,615003670,2022-10-31
632a12f6d7ad49e7,mint,606692,178785,26916,8514,820907,2022-10-31
fb1a4374211a7ee6,Verizon ,0,0,0,0,0,2022-10-31
6ee47514f64610bf,,94197071,1382597,110939683,1928152,208447503,2022-10-31
55fda8a2614b8153,verizon ,0,0,0,0,0,2022-10-31
135d333c7eeed882,verizon ,0,0,0,0,0,2022-10-31
01a43c477f9ff706,,1593687980,70413984,0,0,1664101964,2022-10-31
1ba858a7db102881,tbaytel / rogers,740579736,65634855,6467,2171,806223229,2022-10-31
4d3c9eb0b6f8d4a1,,196415,59805,0,0,256220,2022-10-31
7b1065e760edddd4,,79452606,1597735,0,4920,81055261,2022-10-31
d4b914751a8bbd58,t-mobile,3318782897,66931005,666541,50826,3386431269,2022-10-31
2f923ede562d302b,public mobile,0,0,0,0,0,2022-10-31
82f6534aa29c71ba,t-mobile,0,0,0,0,0,2022-10-31
2b477fb04a2904b5,mint,40491206943,735838646,742581,83142,41227871312,2022-10-31
45c1eebf3f4490b3,t-mobile,365798635,10029211,270396,86615,376184857,2022-10-31
118921a556c2b4c8,,802060338,12570228,0,0,814630566,2022-10-31
ad73cf31b0d918d1,t-mobile,484464491,19647277,0,0,504111768,2022-10-31
70e578eb6d9add99,mint,9170392912,162748192,6646,2056,9333149806,2022-10-31
1775f6a8a0603346,,333398069,5931388,135677431,2797544,477804432,2022-10-31
f3609b88fd6a4829,t-mobile,1044584763,72193838,146397,62568,1116987566,2022-10-31
c7d8af53af5357fe,t-mobile,0,0,0,0,0,2022-10-31
584bbccaa406b325,at&t,35428,174067,573893,161852,945240,2022-10-31
0e2ccb1e6b4bcf39,t-mobile,0,0,0,0,0,2022-10-31
c30fcaf461572deb,t-mobile,0,0,0,0,0,2022-10-31
0ec43843993443e6,t-mobile,0,0,0,0,0,2022-10-31
21daaf8b7cf417da,ting,878126941,48613823,172345,48076,926961185,2022-10-31
e6a44228ad831e63,t-mobile,0,0,0,0,0,2022-10-31
