id,metadata,created,expires_at,code,max_redemptions,times_redeemed,active,livemode,first_time_transaction,minimum_amount,minimum_amount_currency,coupon_id,customer_id,_fivetran_synced
promo_1PieMwFCPJnn9IgIUk2zaDRg,{},2024-07-31 15:23:14+00:00,,WB8MGSVT,1.0,0,True,True,False,,,GCMclVZ5,,2024-08-14 01:36:50.567000+00:00
promo_1PiMsnFCPJnn9IgIvIa99VB0,{},2024-07-30 20:42:57+00:00,,RA7OZJQS,1.0,0,True,True,False,,,iVickyzU,,2024-08-14 01:36:48.253000+00:00
promo_1PiMsmFCPJnn9IgIXGQdO40C,{},2024-07-30 20:42:56+00:00,,GNY1OWIF,1.0,0,True,True,False,,,iVickyzU,,2024-08-14 01:36:48.582000+00:00
promo_1PiMskFCPJnn9IgIqZPF5RLp,{},2024-07-30 20:42:54+00:00,,SPQR2SHS,1.0,0,True,True,False,,,iVickyzU,,2024-08-14 01:36:48.902000+00:00
promo_1PiMsnFCPJnn9IgIsMwvRi7U,{},2024-07-30 20:42:57+00:00,,I0NB7K3O,1.0,0,True,True,False,,,iVickyzU,,2024-08-14 01:36:48.582000+00:00
promo_1PiMtIFCPJnn9IgI81VYiwrX,{},2024-07-30 20:43:28+00:00,,B6FSPCWG,1.0,0,True,True,False,,,HLgpCeXS,,2024-08-14 01:36:46.583000+00:00
promo_1PgwZnFCPJnn9IgIR9A5wE4c,{},2024-07-26 22:25:27+00:00,,PNYRVLRF,1.0,0,True,True,False,9900.0,usd,ISMhighT,,2024-08-14 01:36:43.506000+00:00
promo_1PiMtIFCPJnn9IgItM6o6naK,{},2024-07-30 20:43:28+00:00,,NIQXI3WY,1.0,0,True,True,False,,,HLgpCeXS,,2024-08-14 01:36:46.583000+00:00
promo_1PiMsnFCPJnn9IgILUfzeRs7,{},2024-07-30 20:42:57+00:00,,Z1CNBS9N,1.0,0,True,True,False,,,iVickyzU,,2024-08-14 01:36:48.582000+00:00
promo_1PiMtEFCPJnn9IgImG9RdZWM,{},2024-07-30 20:43:24+00:00,,EEFKXOST,1.0,0,True,True,False,,,HLgpCeXS,,2024-08-14 01:36:47.557000+00:00
promo_1PieMuFCPJnn9IgIVebGXwuR,{},2024-07-31 15:23:12+00:00,,ZBOIDRYA,1.0,0,True,True,False,,,GCMclVZ5,,2024-08-14 01:36:50.919000+00:00
promo_1PiMtGFCPJnn9IgI9c2iaovM,{},2024-07-30 20:43:26+00:00,,WFQGM9QN,1.0,0,True,True,False,,,HLgpCeXS,,2024-08-14 01:36:47.241000+00:00
promo_1PieMtFCPJnn9IgIXdm2Ff1j,{},2024-07-31 15:23:11+00:00,,IEGSQ9RU,1.0,0,True,True,False,,,GCMclVZ5,,2024-08-14 01:36:51.233000+00:00
promo_1PieMyFCPJnn9IgIH3EVqy9H,{},2024-07-31 15:23:16+00:00,,9J7YIC06,1.0,0,True,True,False,,,GCMclVZ5,,2024-08-14 01:36:49.869000+00:00
promo_1PieMyFCPJnn9IgIYPVdh9J6,{},2024-07-31 15:23:16+00:00,,IH30HISJ,1.0,0,True,True,False,,,GCMclVZ5,,2024-08-14 01:36:49.869000+00:00
promo_1PiMsmFCPJnn9IgI7HwNDimo,{},2024-07-30 20:42:56+00:00,,PXYGHQQB,1.0,0,True,True,False,,,iVickyzU,,2024-08-14 01:36:48.582000+00:00
promo_1PieMxFCPJnn9IgIPd6jb7NT,{},2024-07-31 15:23:15+00:00,,F5DZNZ3R,1.0,0,True,True,False,,,GCMclVZ5,,2024-08-14 01:36:50.230000+00:00
promo_1PiMtKFCPJnn9IgI8KhKmRI2,{},2024-07-30 20:43:30+00:00,,N0XVLRHF,1.0,0,True,True,False,,,HLgpCeXS,,2024-08-14 01:36:46.226000+00:00
promo_1PieMtFCPJnn9IgIcIFoDGj5,{},2024-07-31 15:23:11+00:00,,IWV7VVT4,1.0,0,True,True,False,,,GCMclVZ5,,2024-08-14 01:36:51.233000+00:00
promo_1PieMtFCPJnn9IgIhdZ7Ri1Z,{},2024-07-31 15:23:11+00:00,,IC6VWJWJ,1.0,0,True,True,False,,,GCMclVZ5,,2024-08-14 01:36:50.919000+00:00
promo_1PiMtHFCPJnn9IgIqbyylKcz,{},2024-07-30 20:43:27+00:00,,MTLZB0TX,1.0,0,True,True,False,,,HLgpCeXS,,2024-08-14 01:36:46.911000+00:00
promo_1PiMtHFCPJnn9IgIezuxy5QQ,{},2024-07-30 20:43:27+00:00,,NCMXCZ4M,1.0,0,True,True,False,,,HLgpCeXS,,2024-08-14 01:36:46.911000+00:00
