childrenid,childrenweekdaysdaypresetid,id,__typename,name,updatedat,datatype
d74dbb9c-fe33-4168-9799-702c4967b68e,d5c5c8ee-e3be-4168-9deb-6e5f84a5d659,a4cc23bf-af77-4acd-8025-5d3362ab76c7,,Monday,2023-05-26 04:17:09,
651ecfe4-43c8-46f4-acd1-d822954d0135,b2247a36-84fe-4e44-ae81-5ca61524176c,e97fa8e9-32ae-4b8f-bf3b-19411f90d6fd,,Saturday,,
16a5e27d-1232-4c54-9e34-c0cd9aadde29,8ed42650-1214-4e63-b36b-117fc2238d27,19f87475-3765-47b2-9a74-5d1be2f23a22,,Tuesday,2021-01-10 22:54:41,
305b3d36-23ce-4bb6-8fa9-8cffa0747f87,0c8d04a3-0b08-4d07-b099-7f7c69f369f9,38943711-369f-48fb-bc35-12d5cc70d449,,Thursday,,
266514cb-dad0-4b4f-bcbd-0c99d81600f9,8d031501-4f95-4fa6-af63-6206f9af1b4c,5a128b35-4588-47b0-9136-bdd25bed6aea,,Thursday,,
d7f967b3-f884-4937-a122-66ddcffb977d,cf74ae6d-8e26-46c1-baef-e79722a9fa9b,fd7805a3-1194-4a9e-842c-abdbf4d9462d,,Monday,2021-01-14 02:37:37,
9ec9d5ed-f9a4-49f4-82bb-7afd2344b055,855b3947-0a78-4c8b-a411-739eb8a546fd,eabb26f9-8eb4-47dc-939c-42900a30cf06,,Wednesday,,
6666f2ed-7dc1-432c-bb7a-5ffd5fefd918,e9d802b8-d2c2-466e-9bfa-340442c7011c,76502d6a-42a1-4c55-ba15-3b7c51b4243a,,Friday,2023-05-26 16:55:03,
6472cdf1-4cfe-4d2f-9a89-bdc94a0d15c7,9c62d8a1-a2da-4357-a24d-2a1eda4abef8,e2341ce5-12c1-4622-b4ac-c1881e7ede94,,Sunday,2022-07-13 22:02:36,
bdeb42c3-ca5a-4139-875c-e8ae42a8be58,e33ab861-db95-4e78-a112-a0cc470bf5e1,ce4ee07d-6691-4ffd-b39d-39367ada5f3e,,Friday,,
ab745e57-1a62-4022-8564-6ed263ce928e,b24c56ab-f50b-4455-ae5a-d661fcd13125,ae5b1315-1118-4349-bc84-83a42fc75552,,Saturday,2023-04-24 19:43:58,
cd23a652-933d-4b78-9eb3-092ffd91f20e,87b3097d-77c6-477e-a98b-2c4d20d9ec08,039a2438-24c3-4e6d-99e0-aedfd49abc1f,,Saturday,2025-08-07 12:56:38,
338ce255-7410-48e2-b6a1-b8fac41b82b0,f1e010c2-a302-4bbd-ad9a-357f7174e038,1ce3c114-d653-4b67-bb16-5ab5e030fba1,,Friday,2023-11-14 02:21:40,
ec55ea02-099a-43fe-8da8-f8a6a2c50bad,24b0d035-053f-4d04-b888-fb272be00f33,755849c4-28f3-41af-8167-93c05ac96800,,Tuesday,2021-01-22 03:50:28,
4d60277d-9384-4fe3-8e6b-ae27876d3d25,cf3a0a3c-a1e7-4f33-8849-0e03d2570d9d,e1580193-ab45-4e55-822b-d95fbbdb3729,,Thursday,,
853d0703-fc92-4a1c-8143-7987ede5982f,e12dd73d-9e33-4962-893f-fe67974fba8d,3a276be1-0b2e-4598-9db9-b7f8c94181cf,,Saturday,2024-03-30 22:21:10,
00630de8-7fba-4ebb-9e6c-50c18f4f5c1c,c26cf9c8-f2f5-4527-8ddf-0c7bec454f32,19729778-3329-47c2-be3d-b7c9e2baa05a,,Monday,2023-05-31 21:38:17,
95845e9c-1fad-475f-8aa2-5b667d0dce6f,e09ef811-5140-4a6f-ad27-4f297cdcc158,a855c4bc-877c-47a9-91a4-eddc96398d51,,Saturday,2023-10-01 17:34:39,
bdeb42c3-ca5a-4139-875c-e8ae42a8be58,4528d689-fe47-415a-9fc7-ca0ecd9135d2,20b30ad2-6f8e-40dc-ac61-90593ddd29a3,,Wednesday,,
80a68eb4-fc29-48ee-bb48-82204f4c4309,529353cf-8bf2-48bd-8400-a0f5fb2cf45c,ebc21387-f2e2-4ef1-8eeb-caedb333c468,,Monday,2021-11-07 21:20:36,
34d27668-5c6c-4a5d-87b3-e082a42e711a,8010f9f9-2cfd-45cb-955e-8d9936c8ef6f,fca7b9d0-9f3e-482e-8431-abc9ad923f9f,,Saturday,,
692e62b5-c9fc-45da-acdd-12aee5c2d2cb,c6cde13f-ccfd-4c25-9779-ffa10fc69dba,427d06c2-3716-4817-8ff8-fe656160ae43,,Wednesday,,
74d595a2-1452-417e-984e-59073b80acbd,5767f5e2-7a82-49f0-9e20-a5a947c7611a,636f1fd5-1403-4b72-a37f-6de26020a9fd,,Thursday,2020-12-19 14:09:36,
36a476c1-2d81-43d2-874f-bb069ffdd2e3,99bf2e8d-4d04-43ea-b0dd-21ff0bd4238c,fa62b677-2029-465d-bdd5-ffd380edb75b,,Tuesday,2022-09-27 20:43:41,
d7f967b3-f884-4937-a122-66ddcffb977d,12aef9f1-834b-463e-b9af-98dfb4f060bd,728e47bb-7d8a-44e8-a8d4-ca032d3f14f4,,Thursday,,
21274fab-7b55-4773-a705-40fb38db279e,73562ae9-9988-40af-8d37-9465136e8748,7ede885c-d4d4-4b7a-99ef-a56e3cd5ba16,,Thursday,,
6640c529-1c95-47cf-b28c-5f3561df157c,f63d8fba-51d8-4639-adb3-e01945b06c59,227e5a6e-f55e-4572-b434-88e9ed8c32c1,,Saturday,,
95845e9c-1fad-475f-8aa2-5b667d0dce6f,e09ef811-5140-4a6f-ad27-4f297cdcc158,42a6d776-c37b-4966-9d01-9a8e9b6f217e,,Sunday,2023-10-01 17:34:39,
08850b5e-185b-4f25-a77f-bc88d696e5bd,8f6540e5-6ec9-4ab5-82c8-46d359145933,a67346ed-216d-418f-980d-400404f4305f,,Wednesday,,
ea2d2a5e-f09a-4bda-ae3b-c4d9a6357080,e34271c1-4996-46ff-81ce-1334b7d99aea,f5cb4a38-45f4-4b50-974b-088c79e94148,,Sunday,2024-01-31 22:26:01,
c9887d71-3423-4fa8-8545-16c6e102e746,9228cd8a-8fd9-433b-ad9e-73dac32aabd6,cf01ab24-24b4-46c8-838f-6d64d3d427e0,,Thursday,2022-06-12 20:30:16,
8a75e287-5f65-4e08-a50c-c028fc20e6b5,3ad3478c-a6d6-4824-b492-7ec57050f86a,f70c7160-2dd1-4c79-836c-aae22999080c,,Tuesday,2021-11-29 00:08:59,
5c9086f6-224f-4387-a033-f6516607fa3b,e4d49ddd-fe67-48f0-9886-9e78d41f71b9,fe351ab4-f8d4-4edd-bf9e-2843ce1b25b9,,Saturday,,
604e9b7e-f908-4fee-9fa3-737d4b832023,3646ee8c-f679-49f2-b093-53d433b8caf4,527db7f4-3620-48b0-9be0-0257d94f2c83,,Saturday,2023-01-10 04:22:43,
400a6614-192e-4f39-a3eb-18902f820b64,a086b161-f816-42af-951f-0437b0e19902,f9be2ccf-6ee8-49ad-aacc-064045d95b1e,,Tuesday,2022-09-05 03:26:20,
5c14ac8c-b327-45f1-908b-9064fda6a4e9,fe866371-dbe3-4d4b-95b8-f3629fcf93ba,93902ee3-e055-4491-b552-aa537c65527a,,Thursday,2021-10-16 22:51:59,
97010936-1340-4baa-8b42-d6b60064a708,4235bdb3-b313-4692-b1e0-82d9efa04621,fbdc805c-e8a8-43e8-be79-fd0661dfb043,,Saturday,2022-06-18 12:46:18,
c203f373-714f-44cc-8706-23e418e0a197,9d359e0a-951b-4300-8037-a66fc2820cfd,38bd13e2-cb16-4c32-a219-56e16b27a6a4,,Saturday,2023-09-08 04:35:30,
266514cb-dad0-4b4f-bcbd-0c99d81600f9,78d17cc9-1a8f-4c2d-b5e1-b12136c9d688,bb2c249e-6230-41ca-bb3e-0bfd43371036,,Monday,,
be26b4e3-8ac7-4a49-910f-a63ee4fef310,01795cbe-9c78-41cc-8d22-6ed8fb581e6c,9e29a21c-4367-4478-899c-08862ac6f6e7,,Thursday,,
4db3ebd5-2e45-4977-b848-d15e0ddf66a7,7e0abf08-5e76-47e7-b66a-dc293a27b2fe,76882cdb-ef5f-4f85-b78f-275849df365f,,Friday,2023-05-26 21:17:01,
4782d6d5-7720-49b9-820d-b39804350013,54ee0284-5f50-4d07-96c0-ee6a6c69294d,e32148a9-3b01-4c28-a2ca-641d9615da42,,Sunday,,
e85bb833-e157-4f9e-8ec0-9a13d9510580,fd0174eb-615f-4fab-9476-53cba7cc88a6,ba3eb79a-9685-41fa-8764-c85e0ffe9d35,,Sunday,,
e4fda613-f0d3-44ef-a46e-37041c86215b,7f24a30d-4530-4ab7-9d52-92d6f571115d,f66ffae5-4331-4be7-9b9e-5f574d741e66,,Saturday,,
765a686b-2ea9-4d47-b70a-afeb0cc8af1d,6bac1355-9f95-4dbf-bfd9-05e3104809ec,92d5f87b-610b-4e5c-9587-d91e3c471eaa,,Thursday,,
95845e9c-1fad-475f-8aa2-5b667d0dce6f,e09ef811-5140-4a6f-ad27-4f297cdcc158,d2afb69f-fa97-43b8-babb-1eaf8e2f7cab,,Monday,2023-10-01 17:34:39,
66f400ac-d120-4d6e-8a6e-2b7763015ec3,f210192e-3827-4a1f-95bd-73bb6d2db963,8407f5e5-f21c-4c2a-aeb9-8b538d25fc29,,Thursday,,
87b4adcb-b1f8-4a7f-874a-c40b84f1a618,8f6a2942-e411-4d4d-b687-afa60bc2a18b,e997b2ce-b0da-449c-85eb-75995029a7e7,,Tuesday,2021-07-05 15:43:36,
530932fc-8dbb-4310-9137-0650e78b9465,8c33e205-79fb-4d6c-96ef-cf4bff85cb60,68e349ac-f43b-4329-89f3-3149295cb153,,Wednesday,,
998050bb-61af-48f6-84f0-5e0ba8b3f1d7,f4e9f6fb-f0a8-4dfa-b9dd-12a8c85f705a,5bda86b4-7a39-43c0-999f-9d5e944e6413,,Wednesday,,
96f27858-837c-4180-b8d6-eb018b13adfc,79d1aa74-28df-4710-ba38-cdf195e81212,4e449142-07aa-411e-8288-28e0e0383572,,Friday,,
9bb62676-2c2a-42da-a070-c977df28c7a6,3a3e8587-05a4-4a69-a3a3-c236c72804da,5e4e62dc-57ef-4a44-82c8-3504f763fbd2,,Monday,,
20aafde0-be21-4cc8-aa89-a5ac9cfd40d2,8d729239-82bd-46a0-b12a-82bcb9983234,faa149a5-754a-4c76-99d3-cc12a6a8c9d7,,Monday,2023-05-29 15:35:37,
58c2607f-2b91-4a70-a9ba-c621b198c2b5,47b009c4-3122-4997-a8cd-c82b2e473ea5,899d6a7b-1819-4106-8069-f7c9b0a9ce53,,Thursday,,
5ae2eeea-1c7e-44d9-974b-3d35731788fa,8d438e20-0b41-4940-8c57-28c5d53bec16,38b7adc3-fd0a-4ee4-bda2-26264eae27d2,,Tuesday,2021-02-08 18:15:03,
584eec35-7ad5-4914-80da-b2749f6acd5a,73f3848d-52c5-4887-8622-11737c21fc9d,a9c3b107-0c3f-4fa5-b1b9-b0e4ff02943d,,Thursday,,
fefcf156-ec10-4aec-9306-49c7d46a7662,fe05ccd3-4c95-468f-bb62-f2e12240af17,e5d32c75-f881-4995-b67b-99f38ea861a2,,Saturday,,
dba3e724-e2be-4fc7-bab2-af31269c71e2,9cb802e0-6b7f-4e71-8575-c2f13bdd9bc4,f64a656f-298f-4cdb-a75e-a12a03e3623d,,Wednesday,2021-11-16 14:14:16,
d72d9faf-8552-48c8-b999-f29b90a25fca,d9a557f1-a579-4413-912b-7480563cbe1d,49e1b4ab-540c-46fb-bd6a-411871b35b16,,Monday,,
4516725d-a5f0-47f8-8790-54ef0e11e187,ad7a3e6f-607d-4f4f-8bcf-0379411e4a0f,e4850f3f-cb79-4581-b513-8627794b624a,,Tuesday,2021-08-03 22:51:04,
c337bf32-d68c-4a26-8d76-00376a173915,369434ee-41aa-4717-9651-9a38687b3417,907eb0e9-ab64-4551-a845-eee955ca4802,,Monday,2022-05-19 17:26:09,
0b760e93-c93b-4fa1-8889-7394db1cddaf,148dbd57-fe97-478e-876b-7b3ecfb733e6,181fadb5-6edc-4c59-9cc1-63d7109b40bf,,Thursday,2023-02-02 12:33:28,
8c21edcb-930a-4980-9f87-f98337819051,cb248e06-f525-48e5-9a18-88448cf9753f,464552f4-d809-43d1-a0ac-09e972ac000a,,Thursday,,
266514cb-dad0-4b4f-bcbd-0c99d81600f9,1d0e6c80-5e37-4614-b930-22ae5677810d,7046f20e-9668-4593-8d87-7d4290616ec4,,Wednesday,,
af8bb7e9-c2b6-4ced-9f6d-ab15ef3f2171,c9f9979d-0175-4937-860d-9b5781e8fec3,7fabe75f-2bcb-49e6-8e68-6beaf7f0e668,,Wednesday,2022-12-19 03:45:24,
